datetime	open	high	low	close	volume
15.08.2022 00:00	10.16	10.16	10.16	10.16	1
16.08.2022 00:00	9.86	10.0	9.86	10.0	3
17.08.2022 00:00	9.93	9.93	9.93	9.93	1
18.08.2022 00:00	9.65	9.65	9.55	9.55	65
19.08.2022 00:00	9.46	9.46	9.4	9.4	9
22.08.2022 00:00	9.45	9.45	9.36	9.36	16
24.08.2022 00:00	9.35	9.35	9.31	9.33	15
25.08.2022 00:00	9.47	9.47	9.47	9.47	5
26.08.2022 00:00	9.31	9.45	9.3	9.45	20
29.08.2022 00:00	9.4	9.4	9.4	9.4	5
30.08.2022 00:00	9.25	9.25	9.1	9.1	13
31.08.2022 00:00	9.16	9.22	9.16	9.18	100
01.09.2022 00:00	9.38	9.47	9.3	9.47	5
02.09.2022 00:00	9.24	9.49	9.24	9.49	58
05.09.2022 00:00	9.32	9.32	9.3	9.3	41
06.09.2022 00:00	9.25	9.25	9.14	9.22	80
07.09.2022 00:00	9.27	9.39	9.27	9.39	23
09.09.2022 00:00	9.34	9.34	9.34	9.34	10
12.09.2022 00:00	9.33	9.33	9.23	9.23	93
13.09.2022 00:00	9.25	9.25	9.07	9.12	243
14.09.2022 00:00	9.1	9.1	8.93	9.02	1972
15.09.2022 00:00	9.02	9.04	8.94	9.03	1142
16.09.2022 00:00	9.02	9.02	8.92	8.95	23068
19.09.2022 00:00	8.96	9.01	8.93	8.97	1071
20.09.2022 00:00	8.98	9.14	8.92	9.08	3877
21.09.2022 00:00	9.09	9.27	8.94	8.95	7122
22.09.2022 00:00	8.96	8.96	8.66	8.7	4244
23.09.2022 00:00	8.71	8.75	8.3	8.5	13865
26.09.2022 00:00	8.52	8.53	8.4	8.5	6378
27.09.2022 00:00	8.54	8.64	8.45	8.61	1699
28.09.2022 00:00	8.6	8.6	8.38	8.47	4607
29.09.2022 00:00	8.43	8.61	8.33	8.54	10685
30.09.2022 00:00	8.51	8.93	8.43	8.82	17231
03.10.2022 00:00	8.82	9.17	8.52	8.7	13378
04.10.2022 00:00	8.7	8.72	8.59	8.64	3708
05.10.2022 00:00	8.64	8.97	8.6	8.94	7405
06.10.2022 00:00	8.94	9.04	8.79	8.91	9213
07.10.2022 00:00	8.89	8.97	8.81	8.84	9212
10.10.2022 00:00	8.855	9.029	8.855	8.998	6972
11.10.2022 00:00	9.01	9.111	8.995	9.046	9770
12.10.2022 00:00	9.07	9.154	8.9	9.003	9701
13.10.2022 00:00	9.025	9.045	8.97	8.978	2490
14.10.2022 00:00	8.994	9.025	8.896	8.908	4265
17.10.2022 00:00	8.907	8.917	8.761	8.814	5795
18.10.2022 00:00	8.82	8.854	8.769	8.833	4017
19.10.2022 00:00	8.826	8.826	8.69	8.736	6316
20.10.2022 00:00	8.735	8.754	8.684	8.697	7619
21.10.2022 00:00	8.693	8.695	8.566	8.585	11916
24.10.2022 00:00	8.592	8.632	8.571	8.606	10494
25.10.2022 00:00	8.598	8.716	8.57	8.703	16942
26.10.2022 00:00	8.7	8.816	8.7	8.813	3250
27.10.2022 00:00	8.796	8.796	8.664	8.725	5734
28.10.2022 00:00	8.725	8.725	8.638	8.655	7043
31.10.2022 00:00	8.67	8.718	8.603	8.622	7464
01.11.2022 00:00	8.633	8.679	8.633	8.651	1797
02.11.2022 00:00	8.662	8.7	8.652	8.686	4751
03.11.2022 00:00	8.695	8.72	8.658	8.682	15894
07.11.2022 00:00	8.688	8.722	8.676	8.685	5961
08.11.2022 00:00	8.679	8.679	8.615	8.624	25701
09.11.2022 00:00	8.634	8.735	8.634	8.705	22029
10.11.2022 00:00	8.715	8.74	8.607	8.64	22654
11.11.2022 00:00	8.643	8.732	8.643	8.714	41993
14.11.2022 00:00	8.722	8.807	8.722	8.786	26193
15.11.2022 00:00	8.787	8.795	8.732	8.769	23481
16.11.2022 00:00	8.764	8.764	8.68	8.7	12381
17.11.2022 00:00	8.692	8.694	8.641	8.667	23676
18.11.2022 00:00	8.669	8.712	8.66	8.685	18177
21.11.2022 00:00	8.683	8.703	8.662	8.678	10227
22.11.2022 00:00	8.681	8.697	8.665	8.669	7445
23.11.2022 00:00	8.668	8.668	8.616	8.657	24053
24.11.2022 00:00	8.655	8.656	8.619	8.645	11293
25.11.2022 00:00	8.641	8.641	8.614	8.627	22808
28.11.2022 00:00	8.62	8.643	8.592	8.621	30621
29.11.2022 00:00	8.628	8.709	8.613	8.664	128880
30.11.2022 00:00	8.658	8.776	8.65	8.752	84751
01.12.2022 00:00	8.763	8.899	8.759	8.89	108875
02.12.2022 00:00	8.895	9.057	8.891	9.05	114102
05.12.2022 00:00	9.055	9.152	8.992	9.115	267178
06.12.2022 00:00	9.116	9.221	9.105	9.208	223077
07.12.2022 00:00	9.193	9.23	9.139	9.222	187114
08.12.2022 00:00	9.212	9.212	9.108	9.191	219655
09.12.2022 00:00	9.185	9.185	9.12	9.159	292543
12.12.2022 00:00	9.162	9.19	9.109	9.16	276270
13.12.2022 00:00	9.17	9.24	9.17	9.21	643033
14.12.2022 00:00	9.217	9.379	9.217	9.318	1130721
15.12.2022 00:00	9.322	9.433	9.316	9.369	1592017
16.12.2022 00:00	9.37	9.46	9.37	9.444	1314016
19.12.2022 00:00	9.454	9.966	9.454	9.863	4627552
20.12.2022 00:00	9.86	10.15	9.774	10.091	2532551
21.12.2022 00:00	10.1	10.385	10.1	10.379	2707996
22.12.2022 00:00	10.385	10.433	9.825	9.836	4003978
23.12.2022 00:00	9.843	10.123	9.655	10.016	4262249
26.12.2022 00:00	10.016	10.05	9.733	9.846	2358256
27.12.2022 00:00	9.84	10.188	9.803	10.127	3032713
28.12.2022 00:00	10.13	10.368	10.1	10.353	3047905
29.12.2022 00:00	10.351	10.359	10.014	10.197	4595022
30.12.2022 00:00	10.198	10.271	9.856	9.955	3580026
03.01.2023 00:00	9.955	10.247	9.955	10.223	1138569
04.01.2023 00:00	10.223	10.394	10.21	10.387	1036702
05.01.2023 00:00	10.384	10.49	10.271	10.467	1159912
06.01.2023 00:00	10.457	10.546	10.409	10.47	784489
09.01.2023 00:00	10.477	10.559	10.215	10.26	2549762
10.01.2023 00:00	10.26	10.378	10.194	10.322	1247045
11.01.2023 00:00	10.331	10.352	10.061	10.09	2647597
12.01.2023 00:00	10.088	10.107	10.017	10.054	1587288
13.01.2023 00:00	10.059	10.359	10.027	10.3	2515710
16.01.2023 00:00	10.3	10.3	10.13	10.214	1727000
17.01.2023 00:00	10.207	10.281	10.133	10.256	1372893
18.01.2023 00:00	10.251	10.284	10.181	10.247	997447
19.01.2023 00:00	10.246	10.246	10.156	10.171	1105875
20.01.2023 00:00	10.175	10.197	10.141	10.165	867590
23.01.2023 00:00	10.173	10.248	10.117	10.224	1393397
24.01.2023 00:00	10.224	10.224	10.159	10.201	1114460
25.01.2023 00:00	10.204	10.299	10.195	10.282	1100548
26.01.2023 00:00	10.285	10.364	10.268	10.327	1389503
27.01.2023 00:00	10.327	10.35	10.295	10.319	1058334
30.01.2023 00:00	10.324	10.532	10.324	10.523	1447525
31.01.2023 00:00	10.529	10.535	10.374	10.384	1698772
01.02.2023 00:00	10.386	10.498	10.386	10.481	1266910
02.02.2023 00:00	10.48	10.564	10.446	10.511	1130985
03.02.2023 00:00	10.509	10.593	10.406	10.434	1420331
