datetime	open	high	low	close	volume
04.10.2021 07:00	5234.0	5235.0	5214.0	5214.0	1356
04.10.2021 07:05	5213.0	5226.0	5210.0	5214.0	1324
04.10.2021 07:10	5217.0	5217.0	5210.0	5212.0	120
04.10.2021 07:15	5213.0	5214.0	5207.0	5214.0	324
04.10.2021 07:20	5214.0	5214.0	5209.0	5213.0	59
04.10.2021 07:25	5213.0	5214.0	5212.0	5212.0	73
04.10.2021 07:30	5213.0	5217.0	5213.0	5214.0	103
04.10.2021 07:35	5214.0	5217.0	5214.0	5217.0	58
04.10.2021 07:40	5215.0	5218.0	5215.0	5216.0	30
04.10.2021 07:45	5217.0	5227.0	5217.0	5227.0	348
04.10.2021 07:50	5225.0	5225.0	5221.0	5223.0	65
04.10.2021 07:55	5224.0	5224.0	5222.0	5224.0	140
04.10.2021 08:00	5225.0	5233.0	5223.0	5232.0	748
04.10.2021 08:05	5233.0	5242.0	5230.0	5235.0	1755
04.10.2021 08:10	5236.0	5245.0	5236.0	5242.0	1045
04.10.2021 08:15	5242.0	5244.0	5239.0	5239.0	304
04.10.2021 08:20	5240.0	5243.0	5240.0	5243.0	203
04.10.2021 08:25	5241.0	5241.0	5238.0	5238.0	344
04.10.2021 08:30	5238.0	5239.0	5235.0	5238.0	585
04.10.2021 08:35	5238.0	5243.0	5237.0	5242.0	531
04.10.2021 08:40	5240.0	5241.0	5234.0	5235.0	872
04.10.2021 08:45	5235.0	5237.0	5234.0	5235.0	107
04.10.2021 08:50	5235.0	5239.0	5234.0	5239.0	149
04.10.2021 08:55	5238.0	5240.0	5235.0	5237.0	577
04.10.2021 09:00	5236.0	5240.0	5225.0	5232.0	1583
04.10.2021 09:05	5232.0	5234.0	5227.0	5234.0	242
04.10.2021 09:10	5234.0	5241.0	5230.0	5236.0	590
04.10.2021 09:15	5235.0	5243.0	5234.0	5238.0	610
04.10.2021 09:20	5238.0	5238.0	5232.0	5235.0	677
04.10.2021 09:25	5235.0	5239.0	5233.0	5239.0	47
04.10.2021 09:30	5239.0	5241.0	5235.0	5236.0	113
04.10.2021 09:35	5236.0	5239.0	5234.0	5235.0	136
04.10.2021 09:40	5235.0	5239.0	5235.0	5239.0	225
04.10.2021 09:45	5238.0	5238.0	5234.0	5234.0	87
04.10.2021 09:50	5234.0	5235.0	5230.0	5230.0	119
04.10.2021 09:55	5230.0	5233.0	5228.0	5228.0	965
04.10.2021 10:00	5228.0	5242.0	5220.0	5239.0	5712
04.10.2021 10:05	5240.0	5240.0	5220.0	5222.0	3887
04.10.2021 10:10	5224.0	5226.0	5214.0	5217.0	4448
04.10.2021 10:15	5216.0	5224.0	5197.0	5210.0	5458
04.10.2021 10:20	5210.0	5211.0	5199.0	5206.0	2511
04.10.2021 10:25	5209.0	5218.0	5191.0	5198.0	3554
04.10.2021 10:30	5195.0	5210.0	5183.0	5205.0	5863
04.10.2021 10:35	5209.0	5212.0	5207.0	5209.0	1244
04.10.2021 10:40	5208.0	5212.0	5208.0	5210.0	361
04.10.2021 10:45	5211.0	5211.0	5206.0	5211.0	1743
04.10.2021 10:50	5210.0	5210.0	5191.0	5200.0	8060
04.10.2021 10:55	5200.0	5209.0	5200.0	5208.0	973
04.10.2021 11:00	5209.0	5213.0	5203.0	5209.0	1428
04.10.2021 11:05	5208.0	5211.0	5203.0	5205.0	766
04.10.2021 11:10	5205.0	5231.0	5205.0	5230.0	3364
04.10.2021 11:15	5229.0	5247.0	5228.0	5245.0	6322
04.10.2021 11:20	5245.0	5254.0	5242.0	5248.0	6578
04.10.2021 11:25	5246.0	5246.0	5235.0	5242.0	3018
04.10.2021 11:30	5241.0	5241.0	5227.0	5234.0	2708
04.10.2021 11:35	5235.0	5242.0	5230.0	5231.0	1877
04.10.2021 11:40	5232.0	5234.0	5226.0	5231.0	1825
04.10.2021 11:45	5229.0	5235.0	5227.0	5232.0	994
04.10.2021 11:50	5235.0	5244.0	5231.0	5232.0	1907
04.10.2021 11:55	5231.0	5233.0	5230.0	5233.0	174
04.10.2021 12:00	5230.0	5236.0	5230.0	5235.0	311
04.10.2021 12:05	5233.0	5234.0	5230.0	5233.0	200
04.10.2021 12:10	5231.0	5231.0	5223.0	5228.0	1360
04.10.2021 12:15	5225.0	5227.0	5215.0	5220.0	1892
04.10.2021 12:20	5220.0	5225.0	5219.0	5220.0	284
04.10.2021 12:25	5224.0	5225.0	5219.0	5225.0	243
04.10.2021 12:30	5225.0	5230.0	5221.0	5223.0	672
04.10.2021 12:35	5224.0	5229.0	5223.0	5227.0	219
04.10.2021 12:40	5228.0	5228.0	5221.0	5226.0	2617
04.10.2021 12:45	5227.0	5232.0	5226.0	5230.0	855
04.10.2021 12:50	5231.0	5240.0	5230.0	5235.0	1493
04.10.2021 12:55	5235.0	5240.0	5234.0	5237.0	635
04.10.2021 13:00	5237.0	5240.0	5231.0	5231.0	363
04.10.2021 13:05	5232.0	5238.0	5229.0	5238.0	1151
04.10.2021 13:10	5237.0	5243.0	5235.0	5235.0	1824
04.10.2021 13:15	5236.0	5241.0	5232.0	5236.0	772
04.10.2021 13:20	5234.0	5241.0	5232.0	5241.0	1707
04.10.2021 13:25	5241.0	5267.0	5240.0	5260.0	4741
04.10.2021 13:30	5261.0	5271.0	5258.0	5265.0	7199
04.10.2021 13:35	5265.0	5294.0	5265.0	5286.0	7426
04.10.2021 13:40	5286.0	5290.0	5268.0	5271.0	7833
04.10.2021 13:45	5271.0	5276.0	5260.0	5269.0	2212
04.10.2021 13:50	5270.0	5276.0	5270.0	5274.0	893
04.10.2021 13:55	5274.0	5292.0	5274.0	5291.0	7129
